id,mark,model,year,price
3617662-91c11426,HARLEY_DAVIDSON,FXDR_114,2020,21377
3411064-1b151d71,HARLEY_DAVIDSON,FXDB_STREET_BOB,2020,14238
3604572-22a0abb2,HARLEY_DAVIDSON,FAT_BOY,2020,24227
3591350-66dc76dd,HARLEY_DAVIDSON,_STREET_GLIDE,2020,28502
3571350-4e796431,HARLEY_DAVIDSON,ULTRA_LIMITED,2020,31028
3627418-52b89c7c,HARLEY_DAVIDSON,SPORTSTER_,2020,11012
3583936-18600249,HARLEY_DAVIDSON,_STREET_GLIDE,2020,28502
3627172-9c874628,HARLEY_DAVIDSON,FAT_BOY,2020,22931
3005731-0e62db84,HARLEY_DAVIDSON,STREET,2020,8810
3627292-2f95cc3b,HARLEY_DAVIDSON,STREET,2020,6607
3593534-7577128b,HARLEY_DAVIDSON,FAT_BOY,2019,21377
3600104-0c2cdcb4,HARLEY_DAVIDSON,SPORTSTER_,2019,11012
3572572-987a64ce,HARLEY_DAVIDSON,FXDR_114,2019,23968
3612462-ad7a470b,HARLEY_DAVIDSON,VRSCR,2019,7126
3591382-025382c2,HARLEY_DAVIDSON,CVO_SOFTAIL_CONVERTIBLE,2019,39514
3606598-00fee807,HARLEY_DAVIDSON,VRSCR,2019,7126
3606654-dbaf2166,HARLEY_DAVIDSON,SPORT_GLIDE,2019,18785
3609612-d121d2a0,HARLEY_DAVIDSON,BREAKOUT,2019,22672
3581906-ea375fb1,HARLEY_DAVIDSON,ULTRA_LIMITED,2019,25898
3609564-363bc570,HARLEY_DAVIDSON,HERITAGE,2018,23320
3616904-f656d76f,HARLEY_DAVIDSON,_STREET_GLIDE,2018,23320
3616372-f13a937e,HARLEY_DAVIDSON,FXDB_STREET_BOB,2018,12113
3571998-39d2bc35,HARLEY_DAVIDSON,SPORT_GLIDE,2018,18785
3572558-ff3523a1,HARLEY_DAVIDSON,SPORT_GLIDE,2018,18785
3575852-82bd530e,HARLEY_DAVIDSON,FAT_BOB,2018,16194
3616424-e34fb09e,HARLEY_DAVIDSON,FAT_BOY,2018,22024
3599190-9bd3a5de,HARLEY_DAVIDSON,FXDR_114,2018,21377
3612348-5c152566,HARLEY_DAVIDSON,VRSCR,2018,7126
3613358-e98da436,HARLEY_DAVIDSON,FAT_BOY,2018,21377
3598168-90043e99,HARLEY_DAVIDSON,VRSCR,2018,7760
3332612-7eb2f4bd,HARLEY_DAVIDSON,CVO_SOFTAIL_CONVERTIBLE,2018,27854
3609506-2262af57,HARLEY_DAVIDSON,CVO_SOFTAIL_CONVERTIBLE,2017,38866
3593496-d5c56fe4,HARLEY_DAVIDSON,ROAD_GLIDE,2017,21377
3615966-3b9de9d4,HARLEY_DAVIDSON,CVO_SOFTAIL_CONVERTIBLE,2017,27854
3609694-94e5a5b6,HARLEY_DAVIDSON,VRSCR,2017,7126
3616572-921d4834,HARLEY_DAVIDSON,ROAD_KING,2017,12049
3524658-5c72b401,HARLEY_DAVIDSON,FREEWHELLER,2017,27142
3606624-aa74a16e,HARLEY_DAVIDSON,VRSCR,2017,7126
3608038-08add266,HARLEY_DAVIDSON,CVO_SOFTAIL_CONVERTIBLE,2017,27854
3595580-3c12d8e7,HARLEY_DAVIDSON,ROAD_GLIDE,2017,21377
3594668-da46ef40,HARLEY_DAVIDSON,CVO_SOFTAIL_CONVERTIBLE,2017,28372
3607430-e9a78255,HARLEY_DAVIDSON,_STREET_GLIDE,2017,25781
3594666-9a391686,HARLEY_DAVIDSON,FREEWHELLER,2017,27142
3619472-79ebdb86,HARLEY_DAVIDSON,FXDB_STREET_BOB,2016,10364
3617676-d787dbe9,HARLEY_DAVIDSON,FAT_BOY,2016,16842
3623202-3353e19a,HARLEY_DAVIDSON,VRSCF,2016,16194
3433704-3be83099,HARLEY_DAVIDSON,ULTRA_LIMITED,2016,14886
3606538-ba6fa8e4,HARLEY_DAVIDSON,CVO_SOFTAIL_CONVERTIBLE,2016,29798
3607580-5793e852,HARLEY_DAVIDSON,_STREET_GLIDE,2016,14251
3525290-6f5f1882,HARLEY_DAVIDSON,ELECTRA_GLIDE_,2015,21895
3425080-bdb45ce9,HARLEY_DAVIDSON,VRSCF,2015,12049
3627346-69cf32c0,HARLEY_DAVIDSON,_STREET_GLIDE,2015,18138
3616984-395aaec0,HARLEY_DAVIDSON,SPORTSTER_,2014,8421
3436058-96405659,HARLEY_DAVIDSON,_STREET_GLIDE,2014,12437
3614040-8cf891fd,HARLEY_DAVIDSON,VRSC,2014,12567
3618486-0795722f,HARLEY_DAVIDSON,SPORTSTER_,2013,6802
3618356-7c7c804f,HARLEY_DAVIDSON,XLH_883,2013,4612
3599470-c478755b,HARLEY_DAVIDSON,_STREET_GLIDE,2013,9717
3614716-2cbdc473,HARLEY_DAVIDSON,CVO_SOFTAIL_CONVERTIBLE,2013,33684
3614374-bf8bd566,HARLEY_DAVIDSON,HERITAGE,2013,10170
3613866-6c4ef4c2,HARLEY_DAVIDSON,_STREET_GLIDE,2013,9004
3428404-327725c8,HARLEY_DAVIDSON,XLH_883,2012,4534
3612302-463e65e0,HARLEY_DAVIDSON,XLH_883,2012,6348
3498246-de10cb9b,HARLEY_DAVIDSON,VRSC,2012,9600
3618520-eccd19f7,HARLEY_DAVIDSON,XLH_883,2011,5377
3618444-7b844e7e,HARLEY_DAVIDSON,DYNA_LOW_RIDER,2011,5817
3618422-bee5a430,HARLEY_DAVIDSON,XLH_883,2011,4988
3618466-d466bac7,HARLEY_DAVIDSON,DYNA_WIDE_GLIDE,2011,7449
2637902-80ca92fd,HARLEY_DAVIDSON,FAT_BOY,2011,20042
3618348-79974362,HARLEY_DAVIDSON,XLH_883,2010,5532
3619756-400a8500,HARLEY_DAVIDSON,ELECTRA_GLIDE_,2010,11854
3618894-1c409605,HARLEY_DAVIDSON,XLH_883,2010,5765
3599200-830e4af4,HARLEY_DAVIDSON,VRSC,2010,22672
3545702-29436912,HARLEY_DAVIDSON,TRI_GLIDE,2009,20599
3606630-fbecb29d,HARLEY_DAVIDSON,CVO_SOFTAIL_CONVERTIBLE,2008,15547
3431918-cef49968,HARLEY_DAVIDSON,ELECTRA_GLIDE_,2008,9600
3581912-6b9fea2d,HARLEY_DAVIDSON,ULTRA_LIMITED,2008,19433
3618398-2c9e2558,HARLEY_DAVIDSON,FAT_BOY,2007,6115
3618330-d17e69a5,HARLEY_DAVIDSON,SOFTAIL,2007,5817
3619088-e7be0197,HARLEY_DAVIDSON,SPORTSTER_,2007,4949
3627300-f4beb12f,HARLEY_DAVIDSON,VRSC,2007,8356
3431006-4392968c,HARLEY_DAVIDSON,FXDB_STREET_BOB,2007,6944
3619470-491d9308,HARLEY_DAVIDSON,XLH_883,2006,4534
3619744-8046aaa3,HARLEY_DAVIDSON,FXDB_STREET_BOB,2006,7126
3609690-bf50b33e,HARLEY_DAVIDSON,XLH_883,2006,5117
3604352-905baf75,HARLEY_DAVIDSON,XLH_883,2006,5117
3627710-2c761057,HARLEY_DAVIDSON,ROAD_GLIDE,2006,8421
3521354-b69e0351,HARLEY_DAVIDSON,_STREET_GLIDE,2006,8680
3430998-cc9e059c,HARLEY_DAVIDSON,SOFTAIL_DELUXE,2005,8577
3627750-86a28cc2,HARLEY_DAVIDSON,ROAD_GLIDE,2004,6996
3515546-b2adfd7c,HARLEY_DAVIDSON,ROAD_KING,2004,6707
3618364-6e6ebf70,HARLEY_DAVIDSON,FAT_BOY,2003,5532
3617482-ed7142bd,HARLEY_DAVIDSON,XLH_883,2003,4275
3617470-9e3118d4,HARLEY_DAVIDSON,XLH_883,2003,3628
3585070-b22a3c4e,HARLEY_DAVIDSON,ROAD_KING,2003,6024
3618386-c1d2ca16,HARLEY_DAVIDSON,ELECTRA_GLIDE_,2001,5441
3618366-00ecf5d6,HARLEY_DAVIDSON,FAT_BOY,2001,5532
3627868-8a741914,HARLEY_DAVIDSON,XLH_883,2001,3887
3619776-49979687,HARLEY_DAVIDSON,ROAD_KING,1999,6154
3591680-80b689ae,HARLEY_DAVIDSON,DYNA_WIDE_GLIDE,1995,12955
