id,mark,model,year,price
3617858-d9d748e6,BMW,K_1600_B,2020,28502
3627676-a2e6e833,BMW,G_310_GS,2020,4858
3627656-03ac8f8a,BMW,S_1000_XR,2020,22024
3627608-98a3ca79,BMW,G_310_GS,2020,5182
3623566-2675daab,BMW,S_1000_RR,2020,24227
3622660-f425b591,BMW,S_1000_RR,2020,18915
3622488-77b5c0fe,BMW,R_18,2020,27854
3617858-d9d748e6,BMW,K_1600_B,2020,28502
3627676-a2e6e833,BMW,G_310_GS,2020,4858
3627656-03ac8f8a,BMW,S_1000_XR,2020,22024
3627608-98a3ca79,BMW,G_310_GS,2020,5182
3623566-2675daab,BMW,S_1000_RR,2020,24227
3622660-f425b591,BMW,S_1000_RR,2020,18915
3622488-77b5c0fe,BMW,R_18,2020,27854
3599494-b18d22ad,BMW,S_1000_RR,2020,18526
3616856-396ca06a,BMW,S_1000_XR,2020,22672
3616868-b0b158c6,BMW,R_18,2020,22011
3627742-b01b50c8,BMW,R_1250_RS,2020,8032
3609558-5dfa00f6,BMW,S_1000_RR,2020,18915
3522938-096e3597,BMW,F_900_XR,2020,12308
3577450-d043c7b8,BMW,F_900_XR,2020,12567
3582250-df077248,BMW,G_310_GS,2020,4534
3624546-2e65e9f0,BMW,F_850_GS,2020,11530
3598396-b84f533b,BMW,R_NINE_T,2020,14381
3563638-febc3289,BMW,G310R,2020,4211
3595180-6b5d3af9,BMW,R_1250_R,2020,16842
3519238-1c63d8bb,BMW,R_1250_GS,2020,20729
3573672-12159b14,BMW,R_1250_RS,2020,17490
3605704-5c92f588,BMW,F_900_R,2020,10429
3613254-751c731e,BMW,G_310_GS,2020,4988
3552544-c913d1fb,BMW,G310R,2020,4275
3598380-ec72f4f5,BMW,K_1600_GT,2020,23579
3538346-c1dad910,BMW,S_1000_RR,2020,21765
3574258-2d74ede5,BMW,R_NINE_T,2020,13992
3575562-51a36c62,BMW,G310R,2020,4794
3591414-ed4eb5e3,BMW,G_310_GS,2020,5221
3599378-76f95c82,BMW,K_1600_GT,2020,25522
3575594-8f1ca3cc,BMW,G310R,2020,4729
3544866-ff193923,BMW,S_1000_RR,2020,21960
3449682-ff217c5e,BMW,R_1250_GS,2020,23061
3471484-3eca7a72,BMW,G310R,2020,4664
3538042-15fc2530,BMW,R_1250_GS,2020,23242
3485906-a4808070,BMW,K_100_RS,2020,7500
3610022-75207338,BMW,G_310_GS,2020,5182
3486084-ae4086c3,BMW,R_1250_RS,2020,17036
3586468-97ca5f20,BMW,R_1250_GS,2020,20068
3567058-20f1f8d5,BMW,R_1250_R,2020,17814
3578796-210915c1,BMW,S_1000_R,2020,14121
3501012-26195596,BMW,R_1250_GS,2020,22270
3529642-64aab3a9,BMW,K_100_RS,2020,6000
3502944-24af36ce,BMW,S_1000_RR,2020,22000
3567072-89ad17cf,BMW,R_1250_GS,2020,23372
3574258-2d74ede5,BMW,R_NINE_T,2020,13992
3537294-e29bcb4e,BMW,R_1250_R,2020,18073
3511872-3507408e,BMW,S_1000_XR,2020,22543
3557660-443f95a2,BMW,R_1250_RS,2020,18138
3610186-91c02083,BMW,F_850_GS,2020,12955
3526896-0a91b7d0,BMW,R_1250_GS,2020,23579
3575554-f34bc88c,BMW,G_310_GS,2020,5286
3593538-ce86ee5a,BMW,F_900_XR,2020,12178
3564704-5104822b,BMW,G310R,2020,4275
3526882-26e1546f,BMW,R_1250_GS,2020,23320
3424386-c6f7a568,BMW,G_310_GS,2020,5169
3608082-7a4bf0a8,BMW,G310R,2020,4534
3595962-4e22f9a0,BMW,R_1250_GS,2020,21377
3617174-fc1aad5d,BMW,S_1000_RR,2020,20081
3617858-d9d748e6,BMW,K_1600_B,2020,28502
3622492-16ff6062,BMW,G310R,2020,4146
3515826-3f054337,BMW,S_1000_XR,2020,18526
3197600-75af595e,BMW,R_100_R,2020,129555
3609170-a52b3e37,BMW,F_850_GS_ADV,2020,16842
3592292-9c698354,BMW,S_1000_RR,2020,19174
3623362-83cde391,BMW,G_310_GS,2019,3433
3590653-92e67b80,BMW,R_NINE_T,2019,11660
3626858-a30895b9,BMW,R_1250_RS,2019,12891
3628546-4731f9ad,BMW,S_1000_XR,2019,14251
3260296-52d4210d,BMW,S_1000_XR,2019,14769
3625396-56e61b01,BMW,S_1000_RR,2019,19304
3624082-ee59e6fb,BMW,S_1000_R,2019,13992
3626230-9b33d128,BMW,F_750_GS,2019,9976
3565308-b8707b19,BMW,K_1600_GTL,2019,27854
3625770-1029ca15,BMW,R_NINE_T,2019,14121
3590653-92e67b80,BMW,R_NINE_T,2019,11660
3623362-83cde391,BMW,G_310_GS,2019,3433
3626858-a30895b9,BMW,R_1250_RS,2019,12891
3628546-4731f9ad,BMW,S_1000_XR,2019,14251
3260296-52d4210d,BMW,S_1000_XR,2019,14769
3625396-56e61b01,BMW,S_1000_RR,2019,19304
3624082-ee59e6fb,BMW,S_1000_R,2019,13992
3626230-9b33d128,BMW,F_750_GS,2019,9976
3565308-b8707b19,BMW,K_1600_GTL,2019,27854
3625770-1029ca15,BMW,R_NINE_T,2019,14121
3486172-f3a8c938,BMW,S_1000_XR,2019,15534
3614380-ea159367,BMW,G310R,2019,3757
3613062-a1ad7429,BMW,R_1250_R,2019,16972
3612940-eeb99c61,BMW,F_800_R,2019,8162
3607450-bbd75cc5,BMW,R_1250_GS,2019,19420
3606684-98158b8e,BMW,F_800_R,2019,8162
3606892-5a0fb1ef,BMW,S_1000_R,2019,15417
3606756-856cea21,BMW,K_1600_GTL,2019,24356
3603632-f0b35a30,BMW,K_1600_GT,2019,24589
3606120-ad75e734,BMW,S_1000_R,2019,13862
3605678-462973e0,BMW,G310R,2019,3757
3605398-2712ff36,BMW,K_1600_GT,2019,21960
3492922-5fd7ff4e,BMW,R_NINE_T,2019,12955
3555524-1d3f4f23,BMW,S_1000_R,2019,13603
3574208-ffd2939f,BMW,R_1250_R,2019,17490
3364906-d95ce17c,BMW,F_850_GS,2019,12567
3557184-f6c9e1c8,BMW,R_1250_GS,2019,20081
3546450-ae26f519,BMW,G310R,2019,3628
3576400-753c71b0,BMW,F_800_R,2019,8032
3626472-040accb7,BMW,R_1200_GS,2019,18138
3587385-a404fc0e,BMW,F_850_GS,2019,12178
3572808-884da82f,BMW,R_NINE_T,2019,15404
3594348-e1ffb612,BMW,G310R,2019,3563
3591860-a6ccec9e,BMW,G_310_GS,2019,4016
3616120-01c73d37,BMW,S_1000_R,2019,14251
3594490-7ce05057,BMW,R_1250_R,2019,16194
3595578-7d5ac534,BMW,G310R,2019,3304
3604792-3a15d47c,BMW,G_310_GS,2019,4534
3527482-38aefb07,BMW,G_310_GS,2019,4275
3565080-4e363ec0,BMW,G_310_GS,2019,3822
3599516-97641df6,BMW,G_310_GS,2019,4211
3144132-85739ffa,BMW,F_800_R,2019,8032
3586432-63ebef7f,BMW,S_1000_R,2019,13862
3540698-67e55129,BMW,F_800_R,2019,8291
3545866-cb6318d2,BMW,G_310_GS,2019,4599
3590653-92e67b80,BMW,R_NINE_T,2019,11660
3586204-03b8e191,BMW,R_1250_RS,2019,17749
3623362-83cde391,BMW,G_310_GS,2019,3433
3539152-8fac88ca,BMW,S_1000_R,2019,14251
3542146-31cf6c8a,BMW,R_1250_RT,2019,22283
3601866-416c5771,BMW,K_1600_GTL,2019,23255
3591434-639b0f02,BMW,R_NINE_T,2019,13979
3617324-769f92e8,BMW,F_850_GS,2019,12308
3608930-62056560,BMW,F_850_GS,2019,10818
3548770-8b178639,BMW,R_1250_RS,2019,17477
3617372-cfe5d545,BMW,K_1600_GA,2019,24471
3625336-912b1c3e,BMW,K_1600_GT,2019,27854
3577422-67c743c0,BMW,F_800_R,2019,7514
3613820-01285ecf,BMW,F_850_GS_ADV,2019,13862
3604568-13c212c3,BMW,R_1250_GS_ADV,2019,20470
3517670-5f33995d,BMW,G_310_GS,2019,3887
2876598-e123e5d7,BMW,G_310_GS,2019,4949
