id,mark,model,year,price
3596062-d3627a01,HARLEY_DAVIDSON,LIVEWIRE,2020,30000
3627830-dc3a2cc0,HARLEY_DAVIDSON,XLH_883,2020,10105
3623944-e8bc094c,HARLEY_DAVIDSON,SPORTSTER_,2020,11271
3592704-547dbbff,HARLEY_DAVIDSON,SPORTSTER_,2020,10792
3613348-3c774090,HARLEY_DAVIDSON,SPORTSTER_,2020,12787
3622936-3a751512,HARLEY_DAVIDSON,FAT_BOY,2020,24227
3564902-3dda2689,HARLEY_DAVIDSON,ULTRA_LIMITED,2020,31028
3596712-6bca1e61,HARLEY_DAVIDSON,FAT_BOY,2020,21377
3596686-383a67bb,HARLEY_DAVIDSON,SOFTAIL_SLIM,2020,17490
3617684-1ec667dd,HARLEY_DAVIDSON,FAT_BOY,2020,24227
3563354-229bc8ea,HARLEY_DAVIDSON,ULTRA_LIMITED,2020,31028
3596062-d3627a01,HARLEY_DAVIDSON,LIVEWIRE,2020,30000
3627830-dc3a2cc0,HARLEY_DAVIDSON,XLH_883,2020,10105
3623944-e8bc094c,HARLEY_DAVIDSON,SPORTSTER_,2020,11271
3592704-547dbbff,HARLEY_DAVIDSON,SPORTSTER_,2020,10792
3613348-3c774090,HARLEY_DAVIDSON,SPORTSTER_,2020,12787
3622936-3a751512,HARLEY_DAVIDSON,FAT_BOY,2020,24227
3564902-3dda2689,HARLEY_DAVIDSON,ULTRA_LIMITED,2020,31028
3596712-6bca1e61,HARLEY_DAVIDSON,FAT_BOY,2020,21377
3596686-383a67bb,HARLEY_DAVIDSON,SOFTAIL_SLIM,2020,17490
3617684-1ec667dd,HARLEY_DAVIDSON,FAT_BOY,2020,24227
3563354-229bc8ea,HARLEY_DAVIDSON,ULTRA_LIMITED,2020,31028
3617662-91c11426,HARLEY_DAVIDSON,FXDR_114,2020,21377
3411064-1b151d71,HARLEY_DAVIDSON,FXDB_STREET_BOB,2020,14238
3604572-22a0abb2,HARLEY_DAVIDSON,FAT_BOY,2020,24227
3591350-66dc76dd,HARLEY_DAVIDSON,_STREET_GLIDE,2020,28502
3571350-4e796431,HARLEY_DAVIDSON,ULTRA_LIMITED,2020,31028
3627418-52b89c7c,HARLEY_DAVIDSON,SPORTSTER_,2020,11012
3583936-18600249,HARLEY_DAVIDSON,_STREET_GLIDE,2020,28502
3627172-9c874628,HARLEY_DAVIDSON,FAT_BOY,2020,22931
3005731-0e62db84,HARLEY_DAVIDSON,STREET,2020,8810
3627292-2f95cc3b,HARLEY_DAVIDSON,STREET,2020,6607
3374750-757ddce7,HARLEY_DAVIDSON,FAT_BOY,2020,22853
3542896-df0c9acb,HARLEY_DAVIDSON,_STREET_GLIDE,2020,27077
3569848-fcd79ba4,HARLEY_DAVIDSON,ROAD_GLIDE,2020,21960
3571410-f13580b2,HARLEY_DAVIDSON,XLH_883,2020,9056
2913991-50735163,HARLEY_DAVIDSON,FAT_BOB,2020,18656
3568182-c0319691,HARLEY_DAVIDSON,ROAD_GLIDE,2020,28372
3596770-d5eb3b7c,HARLEY_DAVIDSON,SOFTAIL_SLIM,2020,20729
3569532-060232c0,HARLEY_DAVIDSON,FAT_BOB,2020,18125
3617256-97ea0989,HARLEY_DAVIDSON,SPORTSTER_,2020,15417
3599622-ab94c035,HARLEY_DAVIDSON,FAT_BOB,2020,20081
3537986-560147c9,HARLEY_DAVIDSON,XLH_883,2020,9717
3610110-2f005b4f,HARLEY_DAVIDSON,STREET,2020,7126
3525256-862c8d38,HARLEY_DAVIDSON,LOW_RIDER,2020,14251
3557584-5f707a2c,HARLEY_DAVIDSON,ROAD_GLIDE,2020,28463
3614526-c2d3440e,HARLEY_DAVIDSON,VRSCR,2020,7760
3628074-5d03ef7b,HARLEY_DAVIDSON,FAT_BOY,2020,19275
3627828-ea5c8505,HARLEY_DAVIDSON,ROAD_GLIDE,2020,14251
3627570-69d12b59,HARLEY_DAVIDSON,ROAD_KING,2020,24498
3627542-e49c0b45,HARLEY_DAVIDSON,_STREET_GLIDE,2020,19433
3627072-49765fbf,HARLEY_DAVIDSON,_STREET_GLIDE,2020,17412
3626726-668fb093,HARLEY_DAVIDSON,_STREET_GLIDE,2020,21382
3472400-60e117f4,HARLEY_DAVIDSON,ULTRA_LIMITED,2020,35174
3484900-c6631add,HARLEY_DAVIDSON,ROAD_GLIDE,2020,33166
3411170-d8cd0671,HARLEY_DAVIDSON,XLH_883,2020,11647
3411062-1804b3cd,HARLEY_DAVIDSON,ROAD_KING,2020,26688
3614888-053755ac,HARLEY_DAVIDSON,FXDB_STREET_BOB,2020,9198
3411004-2673eadd,HARLEY_DAVIDSON,CVO_SOFTAIL_CONVERTIBLE,2020,47391
3400446-14f1f176,HARLEY_DAVIDSON,CVO_SOFTAIL_CONVERTIBLE,2020,50941
3411016-da1ded48,HARLEY_DAVIDSON,FAT_BOY,2020,27025
3411056-ee8f3734,HARLEY_DAVIDSON,ROAD_GLIDE,2020,33114
3411058-674387c1,HARLEY_DAVIDSON,ULTRA_LIMITED,2020,34436
3411012-974fc07a,HARLEY_DAVIDSON,CVO_SOFTAIL_CONVERTIBLE,2020,43401
3411052-66a52d8c,HARLEY_DAVIDSON,_STREET_GLIDE,2020,31508
3614156-86c9c353,HARLEY_DAVIDSON,SPORTSTER_,2020,6620
3609466-65f5104a,HARLEY_DAVIDSON,SPORTSTER_,2020,13379
3448180-425d90ed,HARLEY_DAVIDSON,CVO_SOFTAIL_CONVERTIBLE,2020,47391
