id,mark,model,year,price
3625504-c58b7620,HONDA,CRF_1000L_AFRICA_TWIN,2020,18125
3625504-c58b7620,HONDA,CRF_1000L_AFRICA_TWIN,2020,18125
3620442-b447306a,HONDA,GL_1800,2020,31741
3555462-11ea89ff,HONDA,CRF_1000L_AFRICA_TWIN,2020,16865
3609496-244f2cca,HONDA,CRF_250_RALLY,2020,7113
3571874-1091828e,HONDA,CRF_1000L_AFRICA_TWIN,2020,20729
3619828-ecfe7549,HONDA,GL_1800,2020,33555
3617682-9d9cb29d,HONDA,CRF_1000L_AFRICA_TWIN,2020,14640
3614036-bf4d8963,HONDA,GL_1800,2020,32389
3586876-ef11c904,HONDA,GL_1800,2020,29785
3586868-567b9987,HONDA,CRF_1000L_AFRICA_TWIN,2020,20729
3586864-88825d64,HONDA,CRF_1000L_AFRICA_TWIN,2020,16865
3552110-d23852c9,HONDA,GL_1800,2020,30445
3620830-bab80305,HONDA,NC_750_X,2020,9976
3552110-d23852c9,HONDA,GL_1800,2020,30445
3612904-f0f58e35,HONDA,CB_300_R,2020,4794
3620830-bab80305,HONDA,NC_750_X,2020,9976
3550866-0b6723bc,HONDA,CRF_1000L_AFRICA_TWIN,2020,16518
3588824-5a1d5873,HONDA,CRF_250_RALLY,2020,6543
2845461-d4ee8a2f,HONDA,GL_1800,2020,33217
3395376-45fb83a2,HONDA,CRF_1000L_AFRICA_TWIN,2020,14419
3436398-e1b099ee,HONDA,CRF_1000L_AFRICA_TWIN,2020,15611
3569142-1c6c0be4,HONDA,CRF_1000L_AFRICA_TWIN,2020,13563
2764272-a1d2779b,HONDA,GL_1800,2020,32894
3436336-ace0c1ab,HONDA,CBR_650_R,2020,11077
3421541-506ebba3,HONDA,NC_750,2020,9496
3154012-1d94a6b0,HONDA,CB_300_R,2020,5441
3330114-1dcd8573,HONDA,CB_1000R,2020,16544
3154030-bb8873df,HONDA,CB_300_R,2020,5441
3451594-c1668504,HONDA,CRF_450,2020,10364
3154020-6ea89dc4,HONDA,CB_300_R,2020,5441
3429952-c1cde6cc,HONDA,CBR_650_R,2020,11077
3395362-c821c1b7,HONDA,CRF_1000L_AFRICA_TWIN,2020,14419
3451584-015ef68f,HONDA,CB_650R,2020,10338
3073444-b2e9d317,HONDA,GL_1800,2020,32894
3569046-0fcbb4ef,HONDA,CRF_1000L_AFRICA_TWIN,2020,16842
3395384-b69d9622,HONDA,CRF_1000L_AFRICA_TWIN,2020,15067
3494224-0c9cd761,HONDA,GL_1800,2020,31221
3569166-366830f1,HONDA,GL_1800,2020,29278
3609546-259d31c6,HONDA,CB_650R,2020,9069
3498068-7347a673,HONDA,STEED,2020,2591
2971540-fe78da92,HONDA,XR125,2020,946
3582052-0b300abd,HONDA,CB_1000R,2020,14251
3619138-fe5f610f,HONDA,Z50,2020,4988
3309518-244a8a86,HONDA,CRF_250_RALLY,2020,6866
3590737-1685c59c,HONDA,GL_1800,2020,29571
3627168-54da5cfc,HONDA,CBR_1000_RR,2019,15417
3400654-789d8d8d,HONDA,CBR_954,2019,6866
3627168-54da5cfc,HONDA,CBR_1000_RR,2019,15417
3400654-789d8d8d,HONDA,CBR_954,2019,6866
3294712-73c35c61,HONDA,GL_1800,2019,29798
3618432-1112cc00,HONDA,MSX,2019,3252
3618302-557b50b1,HONDA,MSX,2019,3252
3601934-881ad22b,HONDA,NC_750,2019,8162
3496979-605ef4a1,HONDA,CRF_1000L_AFRICA_TWIN,2019,12645
3607432-96386ee6,HONDA,CRF_1000L_AFRICA_TWIN,2019,15547
3605416-a98b707c,HONDA,CRF_250_RALLY,2019,5960
3593960-c8d16d17,HONDA,CB_1000R,2019,12696
3593960-c8d16d17,HONDA,CB_1000R,2019,12696
3590020-c73a4e24,HONDA,CBR_1000_RR,2019,18785
3408024-f805b8f3,HONDA,NC_750_X,2019,10883
3604246-84bd1090,HONDA,CRF_1000L_AFRICA_TWIN,2019,10209
3604246-84bd1090,HONDA,CRF_1000L_AFRICA_TWIN,2019,10209
3556012-a389e9e4,HONDA,CBR_650_R,2019,9328
3598992-cc46d080,HONDA,CB_300_R,2019,4534
3590020-c73a4e24,HONDA,CBR_1000_RR,2019,18785
3590839-314d4eca,HONDA,GL_1800,2019,28502
3598198-62a0003a,HONDA,NC_750,2019,8421
3613216-e8da0a29,HONDA,CBR_650_R,2019,8421
3585628-35247200,HONDA,VT_750,2019,5817
3524212-c16584e1,HONDA,CBR_650_R,2019,9457
3621020-28562d6c,HONDA,CRF_1000L_AFRICA_TWIN,2019,13603
3538630-6c701ac2,HONDA,CBR_1000_RR,2019,18785
3516418-464db7d6,HONDA,CRF_250X,2019,8421
3546640-0c45cfd5,HONDA,GL_1800,2019,23968
3622846-e2b2c84b,HONDA,GL_1800,2019,27206
3571996-7b5f9a84,HONDA,GL_1800,2019,27854
3581250-c8533d6c,HONDA,CRF_1000L_AFRICA_TWIN,2019,12308
3601878-2d1ed329,HONDA,CB_650R,2019,9717
3538268-29c47763,HONDA,CRF_1000L_AFRICA_TWIN,2019,14251
3430002-0644902c,HONDA,CB_750,2019,12955
3626408-1c993df4,HONDA,400X,2019,389
3528514-54c4f512,HONDA,CRF_450,2019,5830
3627974-57aba394,HONDA,CRF_1000L_AFRICA_TWIN,2019,8939
3627492-50333891,HONDA,GL_1800,2019,18594
3623266-95e38c30,HONDA,CB_300_R,2019,4923
3620406-24cd802d,HONDA,VT_750,2019,9587
3620362-d45c34f8,HONDA,CRF_1000L_AFRICA_TWIN,2019,15106
3615128-a78ef211,HONDA,FURY,2019,12646
3613456-4be593f7,HONDA,CRF_1000L_AFRICA_TWIN,2019,15709
3614918-36b2d897,HONDA,CRF_250L,2019,4146
3330962-73373a1c,HONDA,CB_650R,2019,10105
3605218-2898bdc7,HONDA,CB_1000R,2019,13936
3605204-f1a9e775,HONDA,VT_750,2019,9425
3604916-52e6acd3,HONDA,VT_1300,2019,6866
3590018-1d1a14d9,HONDA,NC_750_X,2019,10647
3593118-c72c7657,HONDA,CRF_1000L_AFRICA_TWIN,2019,15544
3593986-66796f34,HONDA,GL_1800,2019,19109
3594134-82850645,HONDA,GL_1800,2019,23151
3596808-4db076cf,HONDA,CB_650R,2019,6322
3599830-d714088f,HONDA,CBR_600_RR,2019,9717
3566976-3779d18e,HONDA,CRF_1000L_AFRICA_TWIN,2018,12696
3566976-3779d18e,HONDA,CRF_1000L_AFRICA_TWIN,2018,12696
3568062-889281f9,HONDA,CRF_1000L_AFRICA_TWIN,2018,12696
3496737-19c03d8f,HONDA,CB_650R,2018,8874
3579620-1129da89,HONDA,CBR_1000_RR,2018,13590
3613978-8e425593,HONDA,CRF_1000L_AFRICA_TWIN,2018,11530
3587184-8a78f919,HONDA,GL_1800,2018,28243
3587184-8a78f919,HONDA,GL_1800,2018,27595
3292534-06b84f5b,HONDA,VT_750,2018,7800
3508518-23023613,HONDA,GL_1800,2018,26947
3538686-7ae67dd4,HONDA,CRF_1000L_AFRICA_TWIN,2018,10351
3466580-8e9a6886,HONDA,CRF_1000L_AFRICA_TWIN,2018,13603
3624490-6a976a59,HONDA,CBR_650_R,2018,8421
3562868-4c564715,HONDA,CRF_1000L_AFRICA_TWIN,2018,12696
3588240-60c63e1b,HONDA,GL_1800,2018,27271
3572760-faf35bfb,HONDA,CRF_1000L_AFRICA_TWIN,2018,12943
3613342-2361250d,HONDA,CRF_1000L_AFRICA_TWIN,2018,11595
3220966-9c467744,HONDA,CRF450,2018,7126
3394206-31e0152a,HONDA,GL_1800,2018,36016
3567250-efd1106b,HONDA,CB_650_F,2018,4314
3571032-a88b7ad4,HONDA,CRF_1000L_AFRICA_TWIN,2018,12696
3595592-657d851f,HONDA,GL_1800,2018,34980
3565260-cf5940ce,HONDA,CB_650R,2018,8162
3626534-5391a157,HONDA,CRF450,2018,6465
3234540-6d516bd4,HONDA,GL_1800,2018,24486
3573938-16c0d5c7,HONDA,GL_1800,2018,25250
3623288-5fffe82f,HONDA,CB_1100,2018,11012
3579926-16634cd8,HONDA,CRF150,2018,3757
3412468-aaa2ae29,HONDA,GL_1800,2018,31093
3577796-a507ce2a,HONDA,GL_1800,2018,23579
