id,mark,model,year,price
3601028-85f9f244,TRIUMPH,ROCKET,2020,25000
3585886-5b244804,TRIUMPH,TIGER_900,2020,16713
3555468-166b38fd,TRIUMPH,BONNEVILLE_T120,2020,12826
3555464-03cfccb8,TRIUMPH,TIGER_900,2020,16713
3585894-3d5f5100,TRIUMPH,BONNEVILLE_T120,2020,12826
3601876-9604621a,TRIUMPH,TIGER_900,2020,18138
3601028-85f9f244,TRIUMPH,ROCKET,2020,25000
3585886-5b244804,TRIUMPH,TIGER_900,2020,16713
3555468-166b38fd,TRIUMPH,BONNEVILLE_T120,2020,12826
3555464-03cfccb8,TRIUMPH,TIGER_900,2020,16713
3585894-3d5f5100,TRIUMPH,BONNEVILLE_T120,2020,12826
3601876-9604621a,TRIUMPH,TIGER_900,2020,18138
3624204-baab09b4,TRIUMPH,SPEED_TRIPLE,2020,14899
3627096-8147836e,TRIUMPH,TRIDENT,2020,9548
2719774-ef3b533f,TRIUMPH,BONNEVILLE_BOBBER,2020,16453
3617502-e0851f5f,TRIUMPH,THRUXTON,2020,12826
3060226-c91cb9d4,TRIUMPH,SPEED_TWIN,2020,14899
3588610-01ae5bcb,TRIUMPH,BONNEVILLE_BOBBER,2020,16842
3617420-738196ae,TRIUMPH,BONNEVILLE_BOBBER,2020,8421
3601028-85f9f244,TRIUMPH,ROCKET,2020,25000
3593810-025b203d,TRIUMPH,ROCKET,2020,16842
3563456-4e763ecd,TRIUMPH,BONNEVILLE,2020,6607
3594160-5ae07f0f,TRIUMPH,ROCKET,2020,23000
3594118-5f9adfd0,TRIUMPH,ROCKET,2020,23000
3626064-d98a2f5a,TRIUMPH,THRUXTON,2019,24486
3620048-bf6c398a,TRIUMPH,BONNEVILLE_T100,2019,9717
3563378-ea329f9b,TRIUMPH,SPEED_TWIN,2019,11660
3626064-d98a2f5a,TRIUMPH,THRUXTON,2019,24486
3620048-bf6c398a,TRIUMPH,BONNEVILLE_T100,2019,9717
3563378-ea329f9b,TRIUMPH,SPEED_TWIN,2019,11660
3592522-fdd83f4a,TRIUMPH,STREET_TWIN,2019,10364
3486614-aab2b6ad,TRIUMPH,TIGER_EXPLORER,2019,15741
3539698-bdcbbd67,TRIUMPH,BONNEVILLE_T120,2019,14899
3535466-46fe5068,TRIUMPH,TIGER_800,2019,10364
3621024-abf81517,TRIUMPH,SCRAMBLER,2019,15547
3575008-0657a7f4,TRIUMPH,SCRAMBLER,2019,12955
3550550-1730d512,TRIUMPH,STREET_TWIN,2019,9056
3590120-08a731eb,TRIUMPH,STREET_TRIPLE,2019,12761
3520138-7e6c8584,TRIUMPH,SPEEDMASTER,2019,13215
3504168-276e6426,TRIUMPH,SPEED_TWIN,2019,11012
3205082-dbd401b0,TRIUMPH,THRUXTON,2019,21636
3623630-4e1ae087,TRIUMPH,STREET_TRIPLE,2019,8421
3607658-71d0d9b2,TRIUMPH,BONNEVILLE_BOBBER,2019,13203
3582050-06eff0d3,TRIUMPH,ROCKET,2019,11012
3581672-ce62b3d5,TRIUMPH,ROCKET,2019,15028
3332282-4d373b8b,TRIUMPH,SCRAMBLER,2019,9328
3597580-cc8a8509,TRIUMPH,BONNEVILLE_BOBBER,2019,9000
3597366-5c4f5e87,TRIUMPH,BONNEVILLE_BOBBER,2019,9000
3585520-981bfbb2,TRIUMPH,STREET_TWIN,2019,7061
3622620-7815aa3a,TRIUMPH,BONNEVILLE_SPEEDMASTER,2018,12567
3621308-eb2be6db,TRIUMPH,BONNEVILLE_T120,2018,12308
3604746-1b96a667,TRIUMPH,BONNEVILLE_T120,2018,10338
3563824-99ced346,TRIUMPH,STREET_TWIN,2018,10364
3548034-f5b263ae,TRIUMPH,TIGER_800,2018,12308
3595270-82ccfeee,TRIUMPH,BONNEVILLE_SPEEDMASTER,2018,9717
3466756-ea2270fa,TRIUMPH,TIGER_EXPLORER,2018,12826
3622620-7815aa3a,TRIUMPH,BONNEVILLE_SPEEDMASTER,2018,12567
3621308-eb2be6db,TRIUMPH,BONNEVILLE_T120,2018,12308
3604746-1b96a667,TRIUMPH,BONNEVILLE_T120,2018,10338
3563824-99ced346,TRIUMPH,STREET_TWIN,2018,10364
3548034-f5b263ae,TRIUMPH,TIGER_800,2018,12308
3595270-82ccfeee,TRIUMPH,BONNEVILLE_SPEEDMASTER,2018,9717
3466756-ea2270fa,TRIUMPH,TIGER_EXPLORER,2018,12826
3623422-fa394417,TRIUMPH,BONNEVILLE_T120,2018,9846
3617552-b6ca5725,TRIUMPH,BONNEVILLE_BOBBER,2018,12567
3575558-4840244f,TRIUMPH,SPEEDMASTER,2018,9198
3206556-e9b901ec,TRIUMPH,ROCKET,2018,21377
3467456-0456d0e3,TRIUMPH,TIGER_800,2018,12696
3417428-c3ae25bf,TRIUMPH,BONNEVILLE_BOBBER,2018,19433
3624772-a19ac17b,TRIUMPH,SCRAMBLER,2018,11012
3541478-74733302,TRIUMPH,BONNEVILLE_BOBBER,2018,17270
3497870-27ee3d65,TRIUMPH,BONNEVILLE,2018,16829
3522690-87134451,TRIUMPH,TIGER_EXPLORER,2018,16842
3624712-aa4efcd2,TRIUMPH,BONNEVILLE_SPEEDMASTER,2018,13453
3617430-afe6f477,TRIUMPH,ROCKET,2018,9328
3613498-0bac721f,TRIUMPH,BONNEVILLE_T100,2018,10472
3607668-221bf003,TRIUMPH,THRUXTON,2018,14839
3606122-c4355e65,TRIUMPH,BONNEVILLE_BOBBER,2018,11796
3589782-864a5254,TRIUMPH,THRUXTON,2018,14799
3594102-e10c0027,TRIUMPH,ROCKET,2018,13800
3249006-f0cde512,TRIUMPH,ROCKET,2018,10235
3496593-ccf08b81,TRIUMPH,BONNEVILLE_SPEEDMASTER,2018,6465
3608730-e377b4d6,TRIUMPH,BONNEVILLE_T120,2017,11660
3605754-ded62b40,TRIUMPH,SCRAMBLER,2017,7113
3576410-ac76db27,TRIUMPH,BONNEVILLE_T100,2017,9419
