id,mark,model,year,price
3623552-2f1f2b03,YAMAHA,XT_1200Z_SUPER_TENERE,2020,14899
3620590-f8234c9d,YAMAHA,MT_03,2020,5053
3623552-2f1f2b03,YAMAHA,XT_1200Z_SUPER_TENERE,2020,14899
3620590-f8234c9d,YAMAHA,MT_03,2020,5053
3509190-06dc2749,YAMAHA,YZF_R3,2020,5247
3494478-1c3420c0,YAMAHA,MT_03,2020,5441
3612258-3344453b,YAMAHA,MT_09,2020,10999
3609130-c949dc0a,YAMAHA,MT_03,2020,5195
3609130-c949dc0a,YAMAHA,MT_03,2020,5195
3289410-8df901c3,YAMAHA,XT_1200Z_SUPER_TENERE,2020,16707
3616906-45ce8c9f,YAMAHA,YZ_250F,2020,7760
3543452-1c2d6d11,YAMAHA,YZF_R1,2020,20081
3549104-dad97730,YAMAHA,YBR_125,2020,2196
3578134-268ac6e1,YAMAHA,YZF_R3,2020,5700
3608712-ccbfd2de,YAMAHA,YZF_R3,2020,5830
3537354-4bc45b63,YAMAHA,YZ_450F__,2020,10157
3576688-9d8e034d,YAMAHA,XSR_900,2020,10753
3614222-b10a6ba3,YAMAHA,YZ_65,2020,3368
3626602-cf4e9142,YAMAHA,YZ_65,2020,3174
3575130-f5fc91e3,YAMAHA,RD_350,2020,2850
3581680-3cb6498f,YAMAHA,MT_07,2020,7320
3468546-adcf06f0,YAMAHA,YZF_R6,2020,13603
3624852-4b6156ca,YAMAHA,MT_09,2020,10351
3541114-b9e5b4f3,YAMAHA,MT_03,2020,5169
3581584-70f3d262,YAMAHA,YX_600_RADIAN,2020,6478
3584224-f29b2743,YAMAHA,MT_03,2020,5428
3627990-8b64f1d5,YAMAHA,MT_09,2020,6996
3625702-77463fc4,YAMAHA,YZF_R6,2020,11653
3625708-a8de8e32,YAMAHA,YZF_R1,2020,14895
3599978-624f4ea9,YAMAHA,YZF_R6,2020,15218
3591728-6e4aa8c8,YAMAHA,YZF_R6,2020,11012
3597034-bcd71a35,YAMAHA,YZF_R6,2020,11012
3628454-8455761f,YAMAHA,YZF_R3,2019,4664
3628072-a11c6238,YAMAHA,YBR_125,2019,1879
3627740-8908dc29,YAMAHA,YZF_R3,2019,5169
3628454-8455761f,YAMAHA,YZF_R3,2019,4664
3628072-a11c6238,YAMAHA,YBR_125,2019,1879
3627740-8908dc29,YAMAHA,YZF_R3,2019,5169
3616234-90c13b9f,YAMAHA,YZF_R3,2019,5053
3627872-93e59d39,YAMAHA,YZF_R3,2019,4016
3262148-64aa5396,YAMAHA,YZF_R3,2019,5441
3627378-b97a7080,YAMAHA,MT_09,2019,4923
3552692-5815a25e,YAMAHA,MT_09,2019,11012
3580602-1c8f7e3d,YAMAHA,YZF_R3,2019,5182
3539822-c4fac4e6,YAMAHA,XVS950_BOLT,2019,5817
3342122-17209963,YAMAHA,YZF_R3,2019,4858
3582212-96e35d09,YAMAHA,MT_03,2019,4690
3553136-1ed05b39,YAMAHA,XSR_900,2019,10170
3602144-6998980c,YAMAHA,YZF_R3,2019,4923
3624146-735a55f0,YAMAHA,MT_09_TRACER,2019,11504
3598624-7c5804ca,YAMAHA,YZF_R3,2019,4534
3561724-d3b0a3dd,YAMAHA,YBR_125,2019,1801
3601816-cf49cf85,YAMAHA,YZF_R6,2019,11271
3601816-cf49cf85,YAMAHA,YZF_R6,2019,11271
3534884-bc90defb,YAMAHA,NIKEN,2019,12943
3608474-6693f101,YAMAHA,YZF_R3,2019,5053
3168440-2d039715,YAMAHA,MT10,2019,17697
3543538-6473d085,YAMAHA,YBR_125,2019,1879
3613908-6d3fbb5c,YAMAHA,FJR_1300,2019,16194
